sku,department,category,brand,name,image_1,image_2,image_3,image_4,correct_images
V11H978021,Proyectores,Proyectores,EPSON,"Proyector Epson Powerlite FH52+ 4000 Lumens WUXGA",,,,,4
A11SJLT#ABM,Computadores,Portátiles,HP,"Portátil HP WS Firefly 16 G11 Intel Ultra 7 155H 16GB 512 SSD 4GB Win 11 Pro 1Y",https://sedvirtual.sedcolombia.com.co/stockimages/HP-A11SJLT#ABM-1.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/HP-A11SJLT#ABM-2.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/HP-A11SJLT#ABM-3.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/HP-A11SJLT#ABM-4.jpg,0
A9FC4LT#ABM,Computadores,PC's,HP,"PC WS HP Z1G9 Intel i7-14700 16GB 1TB SSD 8GB Windows 11 Profesional 1Y",https://sedvirtual.sedcolombia.com.co/stockimages/HP-A9FC4LT#ABM-1.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/HP-A9FC4LT#ABM-2.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/HP-A9FC4LT#ABM-3.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/HP-A9FC4LT#ABM-4.jpg,0
25B3492,Impresión,"Suministros de impresión",RICOH,"Cartucho Ricoh Negro M 400FW",,https://sedvirtual.sedcolombia.com.co/stockimages/RICOH-25B3492-2.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/RICOH-25B3492-3.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/RICOH-25B3492-4.jpg,1
AD4U320016G22-SGN,Almacenamiento,"Memoria RAM",ADATA,"Memoria RAM Adata para PC DDR4 16GB 3200 Mhz",,https://sedvirtual.sedcolombia.com.co/stockimages/ADATA-AD4U320016G22-SGN-2.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/ADATA-AD4U320016G22-SGN-3.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/ADATA-AD4U320016G22-SGN-4.jpg,1
ADDU1600W8G11-S,Almacenamiento,"Memoria RAM",ADATA,"Memoria RAM Adata para PC DDR3L 8GB 1600 Mhz",,,https://sedvirtual.sedcolombia.com.co/stockimages/ADATA-ADDU1600W8G11-S-3.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/ADATA-ADDU1600W8G11-S-4.jpg,2
P43322-B21,Servidores,Memorias,HP,"HPE Smart Kit 16GB 1Rx8 PC5-4800B-R",,https://sedvirtual.sedcolombia.com.co/stockimages/HP-P43322-B21-2.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/HP-P43322-B21-3.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/HP-P43322-B21-4.jpg,1
2R7F5A#BGJ,Impresión,Multifuncional,HP,"Impresora HP LaserJet Tank MFP 2602sdw",https://sedvirtual.sedcolombia.com.co/stockimages/HP-2R7F5A#BGJ-1.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/HP-2R7F5A#BGJ-2.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/HP-2R7F5A#BGJ-3.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/HP-2R7F5A#BGJ-4.jpg,0
861683-B21,Servidores,Discos,HP,"Disco Duro HPE 4TB SATA 7.2K LFF LP DS HDD",,,https://sedvirtual.sedcolombia.com.co/stockimages/HP-861683-B21-3.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/HP-861683-B21-4.jpg,2
ARG-BR-1587,"Televisores y Monitores","Soportes de Televisores",ARGOMTECH,"Soporte de Pared Argom Tv 37'-80' / Doble Brazo",,,,https://sedvirtual.sedcolombia.com.co/stockimages/ARGOMTECH-ARG-BR-1587-4.jpg,3
